country,iso3,year,population,gdp_per_capita_usd,household_consumption_usd
Australia,AUS,2018,24963258,57410.1737346009,794697392490.621
Australia,AUS,2019,25334826,55194.7585097428,759166905662.887
Australia,AUS,2020,25649248,51983.4523666382,699531624245.601
Australia,AUS,2021,25685412,60758.9044397144,795156839959.727
Australia,AUS,2022,26018721,65169.5191118657,831768845147.233
Australia,AUS,2023,26659922,65058.3773146674,876316816756.182
China,CHN,2018,1402760000,10085.6638148819,5509633753665.57
China,CHN,2019,1407745000,10342.9009524335,5729716858571.14
China,CHN,2020,1411100000,10627.4637989619,5723905762939.11
China,CHN,2021,1412360000,12887.4357242941,6984714625192.38
China,CHN,2022,1412175000,12970.6056414327,6919552725347.99
China,CHN,2023,1410710000,12951.1782397043,7229259522659.38
Hong Kong SAR,HKG,2018,7452600,48537.5668888343,247040505198.699
Hong Kong SAR,HKG,2019,7507900,48359.0011950597,251881177403.997
Hong Kong SAR,HKG,2020,7481000,46109.2299946609,228845717526.943
Hong Kong SAR,HKG,2021,7413100,49770.5642374739,239735503167.916
Hong Kong SAR,HKG,2022,7346100,48825.0272275805,237951829151.736
Hong Kong SAR,HKG,2023,7536100,50525.1119312663,266625821579.514
Indonesia,IDN,2018,269951846,3860.95353090726,593885231701.263
Indonesia,IDN,2019,272489381,4106.94856160358,648299754543.782
Indonesia,IDN,2020,274814866,3853.70288774146,624142240218.418
Indonesia,IDN,2021,276758053,4287.17313995098,660041259479.635
Indonesia,IDN,2022,278830529,4730.83484836107,699718159840.626
Indonesia,IDN,2023,281190067,4876.2992959843,746328378694.142
Japan,JPN,2018,126811000,40645.478086519,2769916622806.99
Japan,JPN,2019,126633000,41424.8655601543,2807170331833.64
Japan,JPN,2020,126261000,41098.9739004553,2747044228925.89
Japan,JPN,2021,125681593,41580.739040705,2751128059809.15
Japan,JPN,2022,125124989,35548.2645222433,2426093623251.15
Japan,JPN,2023,124516650,35215.003535366,2350182323673.81
Malaysia,MYS,2018,32910967,10901.8019954421,206037423825.255
Malaysia,MYS,2019,33440596,10920.191763972,218272887190.493
Malaysia,MYS,2020,33889558,9957.52626697613,205888852146.863
Malaysia,MYS,2021,34282399,10903.1037480772,216822304116.19
Malaysia,MYS,2022,34695493,11754.5678336248,234948922036.338
Malaysia,MYS,2023,35126298,11386.0395636528,241825507173.033
Philippines,PHL,2018,109465287,3168.51036609727,251608899173.456
Philippines,PHL,2019,110804683,3400.78949767074,275858995374.199
Philippines,PHL,2020,112081264,3227.57910235199,271563141259.037
Philippines,PHL,2021,113100950,3484.38593882819,296592543563.141
Philippines,PHL,2022,113964338,3548.06930572116,307006689363.257
Philippines,PHL,2023,114891199,3804.08274131718,334429914559.98
Singapore,SGP,2018,5638676,67032.8225769734,130834597380.568
Singapore,SGP,2019,5703569,66068.7003106378,135075262542.902
Singapore,SGP,2020,5685807,61772.5036492256,112910312217.791
Singapore,SGP,2021,5453566,80884.8565369236,126952778710.263
Singapore,SGP,2022,5637022,91227.6970426492,144500376087.917
Singapore,SGP,2023,5917648,86382.5900499252,161089302909.589
Thailand,THA,2018,71376079,7099.77650081458,247744599496.147
Thailand,THA,2019,71522271,7605.69657797759,270757912864.522
Thailand,THA,2020,71641484,6983.03412836245,265483025913.896
Thailand,THA,2021,71727332,7055.18760721422,264434481270.702
Thailand,THA,2022,71735329,6910.00995211206,270572239802.518
Thailand,THA,2023,71702435,7210.54130832685,295970808043.138
Vietnam,VNM,2018,96237319,3222.31003125366,176999133892.917
Vietnam,VNM,2019,97173776,3440.90025375434,190013330350.512
Vietnam,VNM,2020,98079191,3534.03953482647,193990716426.122
Vietnam,VNM,2021,98935098,3704.1935590038,203463215115.648
Vietnam,VNM,2022,99680655,4147.69777213621,226068833757.588
Vietnam,VNM,2023,100352192,4322.82572261566,234323207726.677
